cell_id	condition	condition_label	metric	value
Cell000039	disease	Disease	Transition
potential	0.0380401646336036
Cell000040	disease	Disease	Transition
potential	0.185694971590506
Cell000041	disease	Disease	Transition
potential	0.0631969471548209
Cell000042	disease	Disease	Transition
potential	0.0514434238034869
Cell000043	disease	Disease	Transition
potential	0.0396382485936775
Cell000044	disease	Disease	Transition
potential	0.0430634218133295
Cell000045	disease	Disease	Transition
potential	0.0862346236254539
Cell000046	disease	Disease	Transition
potential	0.0571784031021352
Cell000047	disease	Disease	Transition
potential	0.0328935206908494
Cell000048	disease	Disease	Transition
potential	0.0495712095470985
Cell000049	disease	Disease	Transition
potential	0.0847591206020556
Cell000050	disease	Disease	Transition
potential	0.204111356770085
Cell000051	disease	Disease	Transition
potential	0.0802317695976001
Cell000052	disease	Disease	Transition
potential	0.0957350182120505
Cell000053	disease	Disease	Transition
potential	0.0308682308955969
Cell000054	disease	Disease	Transition
potential	0.047585860055536
Cell000055	disease	Disease	Transition
potential	0.0882259188181521
Cell000056	disease	Disease	Transition
potential	0.0898772292358735
Cell000057	disease	Disease	Transition
potential	0.0951430792988319
Cell000058	disease	Disease	Transition
potential	0.0922615162815718
Cell000059	disease	Disease	Transition
potential	0.0682028156399664
Cell000060	disease	Disease	Transition
potential	0.0475530247119782
Cell000061	normal	Normal	Transition
potential	0.396825163180192
Cell000062	normal	Normal	Transition
potential	0.440054658574041
Cell000063	normal	Normal	Transition
potential	0.396658157589208
Cell000064	normal	Normal	Transition
potential	0.445058720238408
Cell000065	normal	Normal	Transition
potential	0.38510319495763
Cell000066	normal	Normal	Transition
potential	0.391626505313279
Cell000067	normal	Normal	Transition
potential	0.378092529012604
Cell000068	normal	Normal	Transition
potential	0.40978047674791
Cell000069	normal	Normal	Transition
potential	0.448899123019075
Cell000070	normal	Normal	Transition
potential	0.469074694220327
Cell000071	normal	Normal	Transition
potential	0.433119761955656
Cell000072	normal	Normal	Transition
potential	0.469123186555185
Cell000073	normal	Normal	Transition
potential	0.275933539598532
Cell000074	normal	Normal	Transition
potential	0.405840666995532
Cell000075	normal	Normal	Transition
potential	0.4489303724285
Cell000076	normal	Normal	Transition
potential	0.339020619568056
Cell000077	normal	Normal	Transition
potential	0.446535369933326
Cell000078	normal	Normal	Transition
potential	0.50918691116012
Cell000079	normal	Normal	Transition
potential	0.377164300165724
Cell000080	normal	Normal	Transition
potential	0.388140689454929
Cell000081	normal	Normal	Transition
potential	0.411326185377798
Cell000082	normal	Normal	Transition
potential	0.444443499837272
Cell000083	normal	Normal	Transition
potential	0.459381006199801
Cell000084	normal	Normal	Transition
potential	0.364284988724905
Cell000085	normal	Normal	Transition
potential	0.448218216174506
Cell000086	normal	Normal	Transition
potential	0.204111356770085
Cell000087	normal	Normal	Transition
potential	0.46441676175691
Cell000088	normal	Normal	Transition
potential	0.430757659953399
Cell000089	normal	Normal	Transition
potential	0.41204174230423
Cell000090	normal	Normal	Transition
potential	0.430123989959127
Cell000091	disease	Disease	Transition
potential	0.0738810614732826
Cell000092	disease	Disease	Transition
potential	0.0761421980982525
Cell000093	disease	Disease	Transition
potential	0.082721328253114
Cell000094	disease	Disease	Transition
potential	0.0240330422077514
Cell000095	disease	Disease	Transition
potential	0.11788290106416
Cell000096	disease	Disease	Transition
potential	0.0807940802417862
Cell000097	disease	Disease	Transition
potential	0.0453756764452976
Cell000098	disease	Disease	Transition
potential	0.0510930928339822
Cell000099	disease	Disease	Transition
potential	0.044179312467797
Cell000100	disease	Disease	Transition
potential	0.100051330886657
Cell000101	disease	Disease	Transition
potential	0.0770118403493581
Cell000102	disease	Disease	Transition
potential	0.144996024813024
Cell000103	disease	Disease	Transition
potential	0.0669364072510403
Cell000104	disease	Disease	Transition
potential	0.106584431641603
Cell000105	disease	Disease	Transition
potential	0.062539027806637
Cell000106	disease	Disease	Transition
potential	0.0334417231832281
Cell000107	disease	Disease	Transition
potential	0.0334221101821521
Cell000108	disease	Disease	Transition
potential	0.0757947009786889
Cell000109	disease	Disease	Transition
potential	0.0931317959776157
Cell000110	disease	Disease	Transition
potential	0.0434946382812754
Cell000111	disease	Disease	Transition
potential	0.0890226856815268
Cell000112	disease	Disease	Transition
potential	0.084922039436651
Cell000113	disease	Disease	Transition
potential	0.0566119773429367
Cell000114	disease	Disease	Transition
potential	0.204111356770085
Cell000115	disease	Disease	Transition
potential	0.100189295468555
Cell000116	disease	Disease	Transition
potential	0.0666066456964039
Cell000117	disease	Disease	Transition
potential	0.0694590382874804
Cell000118	disease	Disease	Transition
potential	0.0541490308324704
Cell000119	disease	Disease	Transition
potential	0.0635259149093361
Cell000120	disease	Disease	Transition
potential	0.0916640106129696
Cell000121	normal	Normal	Transition
potential	0.446194897687399
Cell000122	normal	Normal	Transition
potential	0.35189571697584
Cell000123	normal	Normal	Transition
potential	0.371676074217308
Cell000124	normal	Normal	Transition
potential	0.351379830224208
Cell000125	normal	Normal	Transition
potential	0.477185390915982
Cell000126	normal	Normal	Transition
potential	0.426252644035984
Cell000127	normal	Normal	Transition
potential	0.343781249470209
Cell000128	normal	Normal	Transition
potential	0.389961584383252
Cell000129	normal	Normal	Transition
potential	0.308831833353998
Cell000130	normal	Normal	Transition
potential	0.312867447025467
Cell000131	normal	Normal	Transition
potential	0.309394072826089
Cell000132	normal	Normal	Transition
potential	0.437275861695902
Cell000133	normal	Normal	Transition
potential	0.418082057735544
Cell000134	normal	Normal	Transition
potential	0.409556602874699
Cell000135	normal	Normal	Transition
potential	0.384207478646134
Cell000136	normal	Normal	Transition
potential	0.397123682328814
Cell000137	normal	Normal	Transition
potential	0.400997045270185
Cell000138	normal	Normal	Transition
potential	0.397128418601255
Cell000139	normal	Normal	Transition
potential	0.314743859508808
Cell000140	normal	Normal	Transition
potential	0.377030357176289
Cell000141	normal	Normal	Transition
potential	0.325925438910849
Cell000142	normal	Normal	Transition
