cell_id	state	mean	sd	lower	upper
Cell000039	antigen-presenting	0.0128766030237911	0.0158327352442991	0.00251280781036603	0.0400846008841241
Cell000040	antigen-presenting	0.0204761672473498	0.00620723702911302	0.0139986764047222	0.0254050688470429
Cell000001	IFN-stress	0.194354325287334	0.0347591198897962	0.161791138308001	0.231882306717977
Cell000002	IFN-stress	0.359676073245322	0.0285152552362655	0.313097283650632	0.379494444253191
Cell000003	IFN-stress	0.11507916746357	0.0537510613137001	0.0813388698988526	0.210183707204468
Cell000004	IFN-stress	0.0526366918034022	0.012069924364698	0.0315916560607019	0.0593149382075001
Cell000005	IFN-stress	0.173050704817212	0.0127387115953607	0.151353372785415	0.183311668212975
Cell000006	IFN-stress	0.293840679307991	0.0830821141061901	0.150929664547104	0.365434704246729
Cell000007	IFN-stress	0.206554628741764	0.0355381155996945	0.151401010447341	0.246788935975607
Cell000008	IFN-stress	0.0794985060485436	0.0541747155965011	0.0391468271319221	0.169333703134311
Cell000009	IFN-stress	0.11643390551019	0.0249923114808331	0.0890379863201167	0.147413034962969
Cell000010	IFN-stress	0.0185624431918449	0.00813319391114301	0.0132283087571522	0.0327094487091195
Cell000011	IFN-stress	0.117835131086099	0.0399976392552375	0.0611953135649458	0.15503265607164
Cell000012	IFN-stress	0.378523828967104	0.0846882883373621	0.279004935117484	0.470720026842872
Cell000013	IFN-stress	0.0490683065816096	0.0170924240901516	0.0393158567318424	0.0802808910296936
Cell000014	IFN-stress	0.195361013694105	0.0341868593665266	0.146124227115147	0.223563279104746
Cell000015	IFN-stress	0.0971579985686137	0.0672317831668753	0.00695535158952226	0.159962010482204
Cell000016	IFN-stress	0.117297796053227	0.0100077383607957	0.105229344192989	0.125264949398608
Cell000017	IFN-stress	0.0260163884340304	0.0252577375701793	0.0112664862932823	0.0530027116600683
