state	gene	mean	sd	lower	upper
resident	Gene0098	1.01474143432693	1.01407640719906	0.092004411022357	2.66781905605403
resident	Gene0099	1.45770873151477	0.831326278092128	0.377437816702784	2.49567144583456
resident	Gene0100	1.07188414656834	0.837411441458368	0.46180652655431	2.20593846787605
inflammatory	Gene0001	1.64021487616726	1.81771782016249	0.479957228225513	4.78721495979098
inflammatory	Gene0002	1.07598663630565	0.242003941387728	0.737496229299161	1.36970231666928
inflammatory	Gene0003	0.778610313965328	0.745451384327288	0.125197373624518	1.95323062395224
inflammatory	Gene0004	1.36216302274346	0.449128168267008	0.741346127485553	1.87568115188465
inflammatory	Gene0005	0.748199344687104	0.221016072809757	0.47606443526574	0.97855357157679
inflammatory	Gene0006	2.4797564438948	0.803318343142827	1.42251936501597	3.47632190489089
inflammatory	Gene0007	3.5287037524113	0.8839806765822	2.28415740636288	4.54583323769129
inflammatory	Gene0008	2.8344048601974	0.384385103906376	2.47293854253083	3.39670312060325
inflammatory	Gene0009	1.92043425917354	1.29345850335246	0.465383216544002	3.85704514850543
inflammatory	Gene0010	4.62160194492212	0.967419546394789	3.06979563845152	5.67925860576391
inflammatory	Gene0011	1.02905020111398	0.575404003983002	0.421523170594018	1.92584905497105
inflammatory	Gene0012	3.19802032831823	0.80865772570073	1.95869711901283	4.10353795698086
inflammatory	Gene0013	0.5899817950456	0.425948923376978	0.060676914829182	1.10760023019868
inflammatory	Gene0014	1.56201371949898	0.881636827475416	0.314213989367862	2.45541207131477
inflammatory	Gene0015	2.77662878547699	1.39038388662347	1.1290004764539	4.77431434630018
inflammatory	Gene0016	0.439003648753466	0.413494734869259	0.128665508089344	1.15133369848632
inflammatory	Gene0017	0.629579628485796	0.700159487182276	0.0864780032864694	1.80966279068735
inflammatory	Gene0018	0.844284591795162	0.877343843101561	0.158540756640972	2.22993293617798
inflammatory	Gene0019	0.922295087332335	0.699049602076945	0.0877376686621728	1.95217180893153
inflammatory	Gene0020	0.585846785989602	0.35272232677356	0.174872885635321	1.07039301530669
inflammatory	Gene0021	1.19090632203974	0.879734315033133	0.222235482697125	2.58108233415624
inflammatory	Gene0022	1.87364325254745	0.625677262716124	1.34676031840698	2.91694043491607
inflammatory	Gene0023	1.09627875313203	0.74677839183328	0.172176274194941	1.84186606668833
inflammatory	Gene0024	0.514617955451807	0.634271041378644	0.040015259663752	1.60650896657179
inflammatory	Gene0025	1.08986060383569	0.438806043276668	0.482017273903361	1.58848135855453
inflammatory	Gene0026	1.33423398744304	0.859800553711121	0.323588307313479	2.43853249704119
inflammatory	Gene0027	1.30070563209439	0.625899861955472	0.451513605878564	1.97907655009121
inflammatory	Gene0028	0.672159585852837	0.385135614218348	0.364618151972789	1.18936988251742
inflammatory	Gene0029	0.580562028575581	0.578868292876536	0.243790385193151	1.58888770667055
inflammatory	Gene0030	1.18750563618035	0.757087830634746	0.419190442783895	2.24029135613897
inflammatory	Gene0031	1.68299919880995	0.633069990525521	1.04680459841337	2.6115651964117
inflammatory	Gene0032	1.24684379943873	0.810511044858129	0.163910042076855	2.04788591806654
inflammatory	Gene0033	1.33782465455348	0.952563668825882	0.256388499418091	2.66886865202323
