scenario	replicate	method	cell_id	true_entropy	pred_entropy	entropy_abs_error	scenario_label
rare_transition	1	marker_scoring	Cell000029	1.47664814742538	1.72222345320858	0.2455753057832	Rare
continuous	3	fibrodynmix_vi	Cell000019	1.64217313015961	1.54766364636708	0.0945094837925251	Continuous
rare_transition	2	fibrodynmix_nb	Cell000101	1.55914353772076	1.64468307782952	0.0855395401087575	Rare
continuous	2	fibrodynmix_nb	Cell000009	1.4261629155434	1.71696920371145	0.290806288168047	Continuous
rare_transition	1	fibrodynmix_vi	Cell000085	1.00808927655237	1.56265023484129	0.55456095828892	Rare
rare_transition	1	fibrodynmix_vi	Cell000021	1.49214027342804	1.52932548579026	0.0371852123622203	Rare
continuous	3	fibrodynmix_nb	Cell000018	1.20433373548493	1.48468309341917	0.280349357934241	Continuous
rare_transition	2	fibrodynmix_vi	Cell000008	0.700554149506105	1.51592384706949	0.81536969756338	Rare
continuous	2	marker_scoring	Cell000103	1.52739826144845	1.76099984209466	0.233601580646214	Continuous
continuous	1	marker_scoring	Cell000047	0.925739490726068	1.67123518112251	0.74549569039644	Continuous
continuous	1	fibrodynmix_nb	Cell000005	1.24792877676539	1.51768934714355	0.26976057037816	Continuous
continuous	2	marker_scoring	Cell000048	1.32068523766571	1.66294703962181	0.342261801956101	Continuous
continuous	2	marker_scoring	Cell000091	1.5206378841206	1.7002782544034	0.179640370282803	Continuous
rare_transition	2	marker_scoring	Cell000088	0.999607368237722	1.7397503502799	0.740142982042182	Rare
rare_transition	1	marker_scoring	Cell000008	0.850504156840125	1.76415197396083	0.913647817120708	Rare
rare_transition	2	fibrodynmix_vi	Cell000086	0.936077622735789	1.45876336936472	0.522685746628933	Rare
rare_transition	1	fibrodynmix_nb	Cell000004	0.957033235864088	1.27523279308635	0.318199557222263	Rare
rare_transition	1	marker_scoring	Cell000060	1.45994875742751	1.74239174347878	0.282442986051271	Rare
continuous	3	fibrodynmix_nb	Cell000067	1.52305088260289	1.58681402844524	0.0637631458423427	Continuous
continuous	2	marker_scoring	Cell000008	1.17143937325678	1.75641016537267	0.584970792115889	Continuous
rare_transition	1	marker_scoring	Cell000068	1.44231746785661	1.74756503997518	0.305247572118563	Rare
rare_transition	3	fibrodynmix_nb	Cell000077	1.42385938934416	1.64040999857873	0.21655060923457	Rare
rare_transition	2	marker_scoring	Cell000061	1.41127004184093	1.72258990999131	0.311319868150385	Rare
continuous	2	marker_scoring	Cell000040	1.27063761983102	1.73032954263332	0.4596919228023	Continuous
rare_transition	2	fibrodynmix_nb	Cell000046	0.958931748499444	1.6547217068053	0.69578995830585	Rare
continuous	1	marker_scoring	Cell000040	1.05546176869079	1.62373459620256	0.568272827511762	Continuous
continuous	1	marker_scoring	Cell000064	1.44984561624621	1.73459075187948	0.284745135633265	Continuous
rare_transition	1	fibrodynmix_nb	Cell000017	1.29306209353441	1.44992501642399	0.156862922889577	Rare
rare_transition	3	fibrodynmix_vi	Cell000095	1.56500260186403	1.4375623650999	0.127440236764124	Rare
continuous	1	marker_scoring	Cell000099	1.52033322949516	1.72973133113242	0.209398101637261	Continuous
rare_transition	2	fibrodynmix_nb	Cell000098	1.5268141901679	1.68069280051428	0.153878610346373	Rare
continuous	3	marker_scoring	Cell000002	1.51873933581496	1.71129422138749	0.192554885572534	Continuous
continuous	3	fibrodynmix_vi	Cell000058	1.47464086383386	1.78549226796403	0.310851404130174	Continuous
rare_transition	3	fibrodynmix_nb	Cell000075	1.08212985596033	1.73101839490234	0.648888538942008	Rare
continuous	1	fibrodynmix_nb	Cell000039	1.42427852904315	1.55213548443699	0.127856955393848	Continuous
continuous	1	marker_scoring	Cell000046	1.33242324790218	1.67021033285218	0.337787084950002	Continuous
rare_transition	2	marker_scoring	Cell000011	0.666163485674479	1.71252373568944	1.04636025001496	Rare
continuous	3	fibrodynmix_nb	Cell000062	1.59349386373904	1.58035515505845	0.0131387086805972	Continuous
continuous	2	fibrodynmix_nb	Cell000052	0.878415125903707	1.48555831657441	0.6071431906707	Continuous
continuous	2	marker_scoring	Cell000100	1.63837857250707	1.75640460194657	0.118026029439499	Continuous
rare_transition	2	fibrodynmix_nb	Cell000060	1.48542329257854	1.43769186767256	0.0477314249059777	Rare
rare_transition	3	fibrodynmix_vi	Cell000089	0.876489386010689	1.28439939094098	0.407910004930293	Rare
rare_transition	3	marker_scoring	Cell000067	1.4788534833435	1.76222897243598	0.283375489092486	Rare
continuous	3	fibrodynmix_vi	Cell000062	1.59349386373904	1.58004348006317	0.0134503836758748	Continuous
continuous	3	marker_scoring	Cell000062	1.59349386373904	1.76476311484898	0.171269251109938	Continuous
continuous	3	marker_scoring	Cell000090	1.28580659743665	1.72802114360924	0.442214546172589	Continuous
rare_transition	2	marker_scoring	Cell000084	0.942231794133187	1.70137631117487	0.75914451704168	Rare
