cell_id	state	mean	sd	lower	upper
Cell000023	antigen-presenting	0.136189348957269	0.0601328184553007	0.0595981432910429	0.286952674658683
Cell000024	antigen-presenting	0.205106663307693	0.053078087903788	0.122267966939341	0.31351290537169
Cell000025	antigen-presenting	0.0256174819311562	0.0125577197161329	0.0104853613587685	0.0596109052630393
Cell000026	antigen-presenting	0.236022783570596	0.0653694661401019	0.129577446079155	0.358599408538054
Cell000027	antigen-presenting	0.124733238425265	0.045690041525881	0.0632033573167962	0.211052736200399
Cell000028	antigen-presenting	0.00151462809512859	0.000780303962475723	0.000445924062704062	0.00322943071920696
Cell000029	antigen-presenting	0.219146662093957	0.0578490288915955	0.133817283204738	0.343578671354477
Cell000030	antigen-presenting	0.177111851796894	0.0605040022683448	0.0869688322887178	0.284904199701963
Cell000031	antigen-presenting	0.18763319846592	0.0809632427881338	0.069393771762201	0.350629027153164
Cell000032	antigen-presenting	0.00596487149904889	0.00256490744519419	0.00253056637731686	0.0123371952489078
Cell000001	IFN-stress	0.00124401751039147	0.000301515551478761	0.000792472487044342	0.00183237427659401
Cell000002	IFN-stress	0.00978254191686656	0.00179822735751971	0.006468032513556	0.012849743743192
Cell000003	IFN-stress	0.449025755946354	0.0372561704399765	0.387572492957637	0.519237219653485
Cell000004	IFN-stress	0.0142296313064491	0.00317554923675714	0.00963485765687277	0.0205901095466633
Cell000005	IFN-stress	0.232451446346003	0.0481679558491328	0.149495680636893	0.30878276142147
Cell000006	IFN-stress	0.124426683803609	0.0345536980664693	0.0835917535753101	0.180159847212731
Cell000007	IFN-stress	0.00820357198348766	0.00192281560062342	0.00532633530526094	0.0113758353399853
Cell000008	IFN-stress	0.045739473722236	0.00888885192521995	0.0311084052073654	0.0622232781202363
Cell000009	IFN-stress	0.294222867691843	0.0444911222657702	0.204162828109321	0.378140081382354
Cell000010	IFN-stress	0.0882862339306366	0.0188654749194016	0.0619213736285123	0.12715751742606
Cell000011	IFN-stress	0.0184419507762925	0.00311588737659207	0.0131957929913283	0.0240618773951894
Cell000012	IFN-stress	0.457396794708105	0.052088286126227	0.369834303697521	0.555008597890909
Cell000013	IFN-stress	0.102151347307714	0.0183810117755084	0.0729730522490292	0.141637365972913
Cell000014	IFN-stress	0.0216549557754241	0.00404873201193971	0.0151547733726884	0.0284793243181365
Cell000015	IFN-stress	0.335894187996474	0.060353454475869	0.231544473394538	0.448183033366074
Cell000016	IFN-stress	0.00168192421111088	0.000295050127065252	0.0012428654896612	0.00237850631023905
Cell000017	IFN-stress	0.0476111041916853	0.00826376700967242	0.0342829703072715	0.0663169303699528
Cell000018	IFN-stress	0.0696902559533705	0.015590382623949	0.0395572989699082	0.0991097456884124
Cell000019	IFN-stress	0.128049848527486	0.0336861497009761	0.0897467639312065	0.192097166565933
Cell000020	IFN-stress	0.00709052506208805	0.00149858329375662	0.0046650142446877	0.00995709768837185
Cell000021	IFN-stress	0.372766006469829	0.0440650000541105	0.271609742864465	0.454523166498113
Cell000022	IFN-stress	0.0451724202959986	0.00831725813175955	0.034221241985241	0.0638578842223689
Cell000023	IFN-stress	0.196141388454568	0.0313109362931993	0.144575740922823	0.247042927305307
Cell000024	IFN-stress	0.0357511225300748	0.00817968244492328	0.0213849468702938	0.0515536392394944
Cell000025	IFN-stress	0.161016001417921	0.0350097748033251	0.112704044533015	0.231454673678087
Cell000026	IFN-stress	0.155676533617678	0.0181190585976793	0.126904084626775	0.191656972648511
Cell000027	IFN-stress	0.00205851445223102	0.000435474862830998	0.00146074140079151	0.00290829530207049
Cell000028	IFN-stress	0.106810690763345	0.0218452450013086	0.0746313864133324	0.150631657013956
Cell000029	IFN-stress	0.176284363880045	0.0316722561184613	0.12675719322736	0.22593607019167
Cell000030	IFN-stress	0.00282745933716773	0.00057976682180943	0.00209579122473935	0.00409770448346417
Cell000031	IFN-stress	0.224883485170425	0.0362999579306159	0.162441870314105	0.293216435639524
Cell000032	IFN-stress	0.177615573081092	0.0292034145062388	0.14172635299888	0.228882315953061
