dataset_id	study_id	donor_id	condition	organism	tissue	state	composition	mean_entropy	sensitivity_mode	seed
gse246215_hcc_library_trim_q95_seed246215	GSE246215_HCC_library_trim_q95	GSE246215_HCC_multi_patient	disease	Homo sapiens	Hepatocellular carcinoma (HCC)	myofibroblast	0.903196643989173	0.2759142999593	library_trim_q95	246215
gse246215_hcc_library_trim_q95_seed246215	GSE246215_HCC_library_trim_q95	GSE246215_HCC_multi_patient	disease	Homo sapiens	Hepatocellular carcinoma (HCC)	ECM-remodeling	0.0185548038804692	0.2759142999593	library_trim_q95	246215
gse246215_hcc_library_trim_q95_seed246215	GSE246215_HCC_library_trim_q95	GSE246215_HCC_multi_patient	disease	Homo sapiens	Hepatocellular carcinoma (HCC)	antigen-presenting	0.00967583142151037	0.2759142999593	library_trim_q95	246215
gse246215_hcc_library_trim_q95_seed246215	GSE246215_HCC_library_trim_q95	GSE246215_HCC_multi_patient	disease	Homo sapiens	Hepatocellular carcinoma (HCC)	IFN-stress	0.0155219500563522	0.2759142999593	library_trim_q95	246215
gse246215_nsclc_library_trim_q95_seed246215	GSE246215_NSCLC_library_trim_q95	GSE246215_NSCLC_multi_patient	disease	Homo sapiens	Non-small-cell lung cancer (NSCLC)	resident	0.0512236932516427	0.629419435316443	library_trim_q95	246215
gse246215_nsclc_library_trim_q95_seed246215	GSE246215_NSCLC_library_trim_q95	GSE246215_NSCLC_multi_patient	disease	Homo sapiens	Non-small-cell lung cancer (NSCLC)	inflammatory	0.0569794988258914	0.629419435316443	library_trim_q95	246215
gse246215_nsclc_library_trim_q95_seed246215	GSE246215_NSCLC_library_trim_q95	GSE246215_NSCLC_multi_patient	disease	Homo sapiens	Non-small-cell lung cancer (NSCLC)	myofibroblast	0.0934165965949346	0.629419435316443	library_trim_q95	246215
gse246215_nsclc_library_trim_q95_seed246215	GSE246215_NSCLC_library_trim_q95	GSE246215_NSCLC_multi_patient	disease	Homo sapiens	Non-small-cell lung cancer (NSCLC)	ECM-remodeling	0.743053688563759	0.629419435316443	library_trim_q95	246215
gse246215_nsclc_library_trim_q95_seed246215	GSE246215_NSCLC_library_trim_q95	GSE246215_NSCLC_multi_patient	disease	Homo sapiens	Non-small-cell lung cancer (NSCLC)	antigen-presenting	0.0149557893339092	0.629419435316443	library_trim_q95	246215
gse246215_nsclc_library_trim_q95_seed246215	GSE246215_NSCLC_library_trim_q95	GSE246215_NSCLC_multi_patient	disease	Homo sapiens	Non-small-cell lung cancer (NSCLC)	IFN-stress	0.0403707334298631	0.629419435316443	library_trim_q95	246215
gse246215_tnbc_library_trim_q95_seed246215	GSE246215_TNBC_library_trim_q95	GSE246215_TNBC_multi_patient	disease	Homo sapiens	Triple-negative breast cancer (TNBC)	resident	0.2213282078975	1.10902478071336	library_trim_q95	246215
gse246215_tnbc_library_trim_q95_seed246215	GSE246215_TNBC_library_trim_q95	GSE246215_TNBC_multi_patient	disease	Homo sapiens	Triple-negative breast cancer (TNBC)	inflammatory	0.117132400714113	1.10902478071336	library_trim_q95	246215
gse246215_tnbc_library_trim_q95_seed246215	GSE246215_TNBC_library_trim_q95	GSE246215_TNBC_multi_patient	disease	Homo sapiens	Triple-negative breast cancer (TNBC)	myofibroblast	0.277511497214048	1.10902478071336	library_trim_q95	246215
gse246215_tnbc_library_trim_q95_seed246215	GSE246215_TNBC_library_trim_q95	GSE246215_TNBC_multi_patient	disease	Homo sapiens	Triple-negative breast cancer (TNBC)	ECM-remodeling	0.225813217630172	1.10902478071336	library_trim_q95	246215
gse246215_tnbc_library_trim_q95_seed246215	GSE246215_TNBC_library_trim_q95	GSE246215_TNBC_multi_patient	disease	Homo sapiens	Triple-negative breast cancer (TNBC)	antigen-presenting	0.0582907729781587	1.10902478071336	library_trim_q95	246215
gse246215_tnbc_library_trim_q95_seed246215	GSE246215_TNBC_library_trim_q95	GSE246215_TNBC_multi_patient	disease	Homo sapiens	Triple-negative breast cancer (TNBC)	IFN-stress	0.0999239035660087	1.10902478071336	library_trim_q95	246215
gse246215_gc_library_trim_q95_seed246216	GSE246215_GC_library_trim_q95	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	resident	0.181095124876535	1.15334354166122	library_trim_q95	246216
gse246215_gc_library_trim_q95_seed246216	GSE246215_GC_library_trim_q95	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	inflammatory	0.0779116344234296	1.15334354166122	library_trim_q95	246216
gse246215_gc_library_trim_q95_seed246216	GSE246215_GC_library_trim_q95	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	myofibroblast	0.242689832731823	1.15334354166122	library_trim_q95	246216
gse246215_gc_library_trim_q95_seed246216	GSE246215_GC_library_trim_q95	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	ECM-remodeling	0.282704374975	1.15334354166122	library_trim_q95	246216
gse246215_gc_library_trim_q95_seed246216	GSE246215_GC_library_trim_q95	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	antigen-presenting	0.12274702636728	1.15334354166122	library_trim_q95	246216
gse246215_gc_library_trim_q95_seed246216	GSE246215_GC_library_trim_q95	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	IFN-stress	0.0928520066259319	1.15334354166122	library_trim_q95	246216
gse246215_hcc_library_trim_q95_seed246216	GSE246215_HCC_library_trim_q95	GSE246215_HCC_multi_patient	disease	Homo sapiens	Hepatocellular carcinoma (HCC)	resident	0.0942599143614189	0.33693717763692	library_trim_q95	246216
gse246215_hcc_library_trim_q95_seed246216	GSE246215_HCC_library_trim_q95	GSE246215_HCC_multi_patient	disease	Homo sapiens	Hepatocellular carcinoma (HCC)	inflammatory	0.00574364103733707	0.33693717763692	library_trim_q95	246216
