state	gene	rank	spearman_rho	dataset
myofibroblast	RGS16	40	0.290525548745411	GSE243716
ECM-remodeling	COL1A1	1	0.85769483899677	GSE243716
ECM-remodeling	COL1A2	2	0.849513608507434	GSE243716
ECM-remodeling	COL3A1	3	0.815958651412221	GSE243716
ECM-remodeling	ASPN	4	0.718037709701933	GSE243716
ECM-remodeling	COL5A2	5	0.711293764485307	GSE243716
ECM-remodeling	CRABP2	6	0.693898421506495	GSE243716
ECM-remodeling	ADAM12	7	0.690734409461391	GSE243716
ECM-remodeling	DPT	8	0.690147813837402	GSE243716
ECM-remodeling	GXYLT2	9	0.677390810961233	GSE243716
ECM-remodeling	FN1	10	0.676123333573513	GSE243716
ECM-remodeling	SPON2	11	0.674935362311076	GSE243716
ECM-remodeling	MEG3	12	0.674075186027785	GSE243716
ECM-remodeling	THBS2	13	0.669333043415496	GSE243716
ECM-remodeling	CNTN1	14	0.665058272289236	GSE243716
ECM-remodeling	OGN	15	0.661241629388315	GSE243716
ECM-remodeling	SFRP2	16	0.656851391423506	GSE243716
ECM-remodeling	COL8A1	17	0.655598798423208	GSE243716
ECM-remodeling	FIBIN	18	0.649615239425933	GSE243716
ECM-remodeling	SDC1	19	0.63630125806668	GSE243716
ECM-remodeling	FBLN1	20	0.633793040810975	GSE243716
ECM-remodeling	VCAN	21	0.632461746572528	GSE243716
ECM-remodeling	LGR4	22	0.628963662197283	GSE243716
ECM-remodeling	POSTN	23	0.62268942492564	GSE243716
ECM-remodeling	ITGBL1	24	0.622435836478412	GSE243716
ECM-remodeling	GAS1	25	0.619755990898684	GSE243716
ECM-remodeling	CCN5	26	0.616818399824876	GSE243716
ECM-remodeling	LUM	27	0.616407533021388	GSE243716
ECM-remodeling	SFRP4	28	0.614980137239181	GSE243716
ECM-remodeling	COL11A1	29	0.614324693053358	GSE243716
ECM-remodeling	MFAP5	30	0.61344029978259	GSE243716
ECM-remodeling	C1QTNF3	31	0.608874611937615	GSE243716
ECM-remodeling	OLFML3	32	0.600615291517692	GSE243716
ECM-remodeling	RUNX2	33	0.600035338641224	GSE243716
ECM-remodeling	DCN	34	0.594839954767055	GSE243716
ECM-remodeling	LOX	35	0.594265723608016	GSE243716
ECM-remodeling	MEG8	36	0.591496335995054	GSE243716
ECM-remodeling	ISLR	37	0.586042611856673	GSE243716
ECM-remodeling	PDGFRA	38	0.58543288278529	GSE243716
ECM-remodeling	COL10A1	39	0.582210330396669	GSE243716
ECM-remodeling	TNFAIP6	40	0.578540031951226	GSE243716
antigen-presenting	CD74	1	0.753999591322754	GSE243716
antigen-presenting	HLA-DRA	2	0.725726775759051	GSE243716
antigen-presenting	HLA-DRB1	3	0.711040375581762	GSE243716
antigen-presenting	PECAM1	4	0.672144310228521	GSE243716
antigen-presenting	CCL14	5	0.650972694259789	GSE243716
antigen-presenting	HLA-DPA1	6	0.648319583915126	GSE243716
antigen-presenting	MCTP1	7	0.641248615293649	GSE243716
antigen-presenting	VWF	8	0.640174545249319	GSE243716
antigen-presenting	ETS2	9	0.634218326459714	GSE243716
antigen-presenting	PLVAP	10	0.62481856457382	GSE243716
antigen-presenting	ACKR1	11	0.621760110964452	GSE243716
antigen-presenting	HLA-DPB1	12	0.618952391332652	GSE243716
antigen-presenting	EMCN	13	0.612178412279905	GSE243716
antigen-presenting	HLA-DMA	14	0.610091112379278	GSE243716
antigen-presenting	TM4SF1	15	0.599578674172124	GSE243716
antigen-presenting	CD93	16	0.596941948240036	GSE243716
antigen-presenting	ADGRL4	17	0.589903090167125	GSE243716
antigen-presenting	ITGA6	18	0.58793097921052	GSE243716
antigen-presenting	MMRN1	19	0.58699578209004	GSE243716
antigen-presenting	FLT1	20	0.576406431672535	GSE243716
antigen-presenting	CLDN5	21	0.576352097587475	GSE243716
antigen-presenting	EGFL7	22	0.573576857410736	GSE243716
antigen-presenting	CD34	23	0.572861993571534	GSE243716
antigen-presenting	HLA-DQB1	24	0.572684335693172	GSE243716
antigen-presenting	ADM5	25	0.569265332528891	GSE243716
antigen-presenting	CDH5	26	0.566825859822945	GSE243716
antigen-presenting	SOX18	27	0.565815672703667	GSE243716
antigen-presenting	AQP1	28	0.563339713901048	GSE243716
antigen-presenting	PTPRB	29	0.556229635394668	GSE243716
antigen-presenting	SRGN	30	0.545909057356197	GSE243716
antigen-presenting	GIMAP7	31	0.54559952418252	GSE243716
antigen-presenting	RAMP2	32	0.544462805677371	GSE243716
antigen-presenting	CLEC14A	33	0.531837666877548	GSE243716
